#                                                              -*- mode:sh -*-
# depth  rho(g/cm^3)  vp(km/s)  vs(km/s)       Qp      Qs
# -----------------------------------------------------------------------------
      0          2.3       5.5      3.14      600     300
      3          2.4       6.0      3.55      600     300
     18          2.8       6.7      3.83      600     300
     33          3.2       7.8      4.46      600     300
    100          3.3       8.0      4.57      600     300
    225          3.4       8.4      4.80      600     300
    325          3.5       8.6      4.91      600     300
    425          3.7       9.3      5.31      600     300
