#  JMA2001 + Density + Attenuation
#
#  The original JMA2001 velocity strucuture model (Ueno, et al., 2002)
#  used in hypocentral determination by Japan Meteorological Agency 
#  contains depth, P-wave velocity adn S-wave velocity.
#  Mass density and intrinsic attenuation factors are obtained from 
#  empirical relationships summarized in Brocher (2008; J Seismol.)
#  Note that the velocities of deep structure (>270 km for density and
#  >420 km for attenuation) exceeds the limiation of the empirical formula.
#  Please use it with caution for deep-focus earthquake. 
#
#   depth(km)   rho(g/cc)   vp(km/s)    vs(km/s)       Qp       Qs
# ------------------------------------------------------------------
    197.0000      3.3853      8.2600      4.5970   1456.0053    728.0027
    197.5000      3.3861      8.2620      4.5980   1456.7920    728.3960
    198.0000      3.3865      8.2630      4.5980   1456.7920    728.3960
    198.5000      3.3872      8.2650      4.5990   1457.5790    728.7895
    199.0000      3.3876      8.2660      4.6000   1458.3663    729.1832
    199.5000      3.3883      8.2680      4.6010   1459.1540    729.5770
    200.0000      3.3887      8.2690      4.6020   1459.9421    729.9710
    200.5000      3.3894      8.2710      4.6030   1460.7305    730.3652
    201.0000      3.3898      8.2720      4.6030   1460.7305    730.3652
    201.5000      3.3905      8.2740      4.6040   1461.5193    730.7596
    202.0000      3.3909      8.2750      4.6040   1461.5193    730.7596
    202.5000      3.3917      8.2770      4.6050   1462.3084    731.1542
    203.0000      3.3920      8.2780      4.6060   1463.0978    731.5489
    203.5000      3.3928      8.2800      4.6070   1463.8877    731.9438
    204.0000      3.3931      8.2810      4.6070   1463.8877    731.9438
    204.5000      3.3939      8.2830      4.6080   1464.6778    732.3389
    205.0000      3.3943      8.2840      4.6090   1465.4684    732.7342
    205.5000      3.3950      8.2860      4.6100   1466.2593    733.1296
    206.0000      3.3954      8.2870      4.6100   1466.2593    733.1296
    206.5000      3.3961      8.2890      4.6110   1467.0505    733.5252
    207.0000      3.3965      8.2900      4.6110   1467.0505    733.5252
    207.5000      3.3972      8.2920      4.6120   1467.8421    733.9210
    208.0000      3.3976      8.2930      4.6130   1468.6340    734.3170
    208.5000      3.3983      8.2950      4.6140   1469.4263    734.7132
    209.0000      3.3987      8.2960      4.6140   1469.4263    734.7132
    209.5000      3.3995      8.2980      4.6150   1470.2190    735.1095
    210.0000      3.3998      8.2990      4.6160   1471.0120    735.5060
    210.5000      3.4006      8.3010      4.6170   1471.8054    735.9027
    211.0000      3.4009      8.3020      4.6170   1471.8054    735.9027
    211.5000      3.4017      8.3040      4.6180   1472.5991    736.2995
    212.0000      3.4021      8.3050      4.6190   1473.3931    736.6966
    212.5000      3.4028      8.3070      4.6200   1474.1876    737.0938
    213.0000      3.4032      8.3080      4.6210   1474.9823    737.4912
    213.5000      3.4039      8.3100      4.6220   1475.7775    737.8887
    214.0000      3.4043      8.3110      4.6220   1475.7775    737.8887
    214.5000      3.4051      8.3130      4.6230   1476.5730    738.2865
    215.0000      3.4054      8.3140      4.6240   1477.3688    738.6844
    215.5000      3.4062      8.3160      4.6250   1478.1650    739.0825
    216.0000      3.4065      8.3170      4.6260   1478.9616    739.4808
    216.5000      3.4073      8.3190      4.6270   1479.7585    739.8792
    217.0000      3.4077      8.3200      4.6270   1479.7585    739.8792
    217.5000      3.4084      8.3220      4.6280   1480.5558    740.2779
    218.0000      3.4088      8.3230      4.6290   1481.3534    740.6767
    218.5000      3.4095      8.3250      4.6300   1482.1513    741.0757
    219.0000      3.4099      8.3260      4.6310   1482.9497    741.4748
    219.5000      3.4107      8.3280      4.6320   1483.7484    741.8742
    220.0000      3.4110      8.3290      4.6320   1483.7484    741.8742
    220.5000      3.4118      8.3310      4.6330   1484.5474    742.2737
    221.0000      3.4125      8.3330      4.6340   1485.3468    742.6734
    221.5000      3.4133      8.3350      4.6350   1486.1466    743.0733
    222.0000      3.4136      8.3360      4.6360   1486.9467    743.4733
    222.5000      3.4144      8.3380      4.6370   1487.7472    743.8736
    223.0000      3.4151      8.3400      4.6380   1488.5480    744.2740
    223.5000      3.4155      8.3410      4.6380   1488.5480    744.2740
    224.0000      3.4163      8.3430      4.6390   1489.3492    744.6746
    224.5000      3.4170      8.3450      4.6400   1490.1507    745.0754
    225.0000      3.4174      8.3460      4.6410   1490.9526    745.4763
    225.5000      3.4181      8.3480      4.6420   1491.7549    745.8774
    226.0000      3.4185      8.3490      4.6420   1491.7549    745.8774
    226.5000      3.4193      8.3510      4.6430   1492.5575    746.2787
    227.0000      3.4196      8.3520      4.6430   1492.5575    746.2787
    227.5000      3.4204      8.3540      4.6440   1493.3604    746.6802
    228.0000      3.4208      8.3550      4.6450   1494.1637    747.0819
    228.5000      3.4215      8.3570      4.6460   1494.9674    747.4837
    229.0000      3.4219      8.3580      4.6460   1494.9674    747.4837
    229.5000      3.4226      8.3600      4.6470   1495.7715    747.8857
    230.0000      3.4230      8.3610      4.6480   1496.5759    748.2879
    230.5000      3.4238      8.3630      4.6490   1497.3806    748.6903
    231.0000      3.4242      8.3640      4.6490   1497.3806    748.6903
    231.5000      3.4249      8.3660      4.6500   1498.1857    749.0929
    232.0000      3.4253      8.3670      4.6510   1498.9912    749.4956
    232.5000      3.4257      8.3680      4.6510   1498.9912    749.4956
    233.0000      3.4264      8.3700      4.6530   1500.6032    750.3016
    233.5000      3.4268      8.3710      4.6530   1500.6032    750.3016
    234.0000      3.4275      8.3730      4.6540   1501.4097    750.7049
    234.5000      3.4279      8.3740      4.6550   1502.2166    751.1083
    235.0000      3.4287      8.3760      4.6560   1503.0239    751.5120
    235.5000      3.4290      8.3770      4.6560   1503.0239    751.5120
    236.0000      3.4294      8.3780      4.6570   1503.8315    751.9158
    236.5000      3.4302      8.3800      4.6580   1504.6395    752.3197
    237.0000      3.4306      8.3810      4.6590   1505.4478    752.7239
    237.5000      3.4313      8.3830      4.6600   1506.2565    753.1283
    238.0000      3.4317      8.3840      4.6600   1506.2565    753.1283
    238.5000      3.4321      8.3850      4.6610   1507.0656    753.5328
    239.0000      3.4328      8.3870      4.6620   1507.8750    753.9375
    239.5000      3.4332      8.3880      4.6630   1508.6847    754.3424
    240.0000      3.4336      8.3890      4.6630   1508.6847    754.3424
    240.5000      3.4339      8.3900      4.6640   1509.4949    754.7474
    241.0000      3.4343      8.3910      4.6640   1509.4949    754.7474
    241.5000      3.4351      8.3930      4.6650   1510.3054    755.1527
    242.0000      3.4355      8.3940      4.6650   1510.3054    755.1527
    242.5000      3.4358      8.3950      4.6660   1511.1162    755.5581
    243.0000      3.4362      8.3960      4.6660   1511.1162    755.5581
    243.5000      3.4366      8.3970      4.6670   1511.9274    755.9637
    244.0000      3.4370      8.3980      4.6670   1511.9274    755.9637
    244.5000      3.4377      8.4000      4.6680   1512.7390    756.3695
    245.0000      3.4381      8.4010      4.6690   1513.5509    756.7754
    245.5000      3.4385      8.4020      4.6690   1513.5509    756.7754
    246.0000      3.4392      8.4040      4.6700   1514.3632    757.1816
    246.5000      3.4396      8.4050      4.6700   1514.3632    757.1816
    247.0000      3.4400      8.4060      4.6710   1515.1758    757.5879
    247.5000      3.4407      8.4080      4.6720   1515.9888    757.9944
    248.0000      3.4411      8.4090      4.6720   1515.9888    757.9944
    248.5000      3.4419      8.4110      4.6730   1516.8022    758.4011
    249.0000      3.4423      8.4120      4.6740   1517.6159    758.8080
    249.5000      3.4430      8.4140      4.6750   1518.4300    759.2150
    250.0000      3.4434      8.4150      4.6750   1518.4300    759.2150
    250.5000      3.4442      8.4170      4.6760   1519.2444    759.6222
    251.0000      3.4449      8.4190      4.6770   1520.0592    760.0296
    251.5000      3.4453      8.4200      4.6780   1520.8744    760.4372
    252.0000      3.4460      8.4220      4.6790   1521.6899    760.8450
    252.5000      3.4464      8.4230      4.6790   1521.6899    760.8450
    253.0000      3.4472      8.4250      4.6810   1523.3220    761.6610
    253.5000      3.4479      8.4270      4.6820   1524.1387    762.0693
    254.0000      3.4483      8.4280      4.6820   1524.1387    762.0693
    254.5000      3.4491      8.4300      4.6830   1524.9556    762.4778
    255.0000      3.4498      8.4320      4.6840   1525.7729    762.8865
    255.5000      3.4506      8.4340      4.6860   1527.4087    763.7043
    256.0000      3.4510      8.4350      4.6860   1527.4087    763.7043
    256.5000      3.4517      8.4370      4.6870   1528.2271    764.1135
    257.0000      3.4525      8.4390      4.6880   1529.0459    764.5229
    257.5000      3.4533      8.4410      4.6890   1529.8650    764.9325
    258.0000      3.4536      8.4420      4.6900   1530.6845    765.3422
    258.5000      3.4544      8.4440      4.6910   1531.5043    765.7522
    259.0000      3.4552      8.4460      4.6920   1532.3246    766.1623
    259.5000      3.4559      8.4480      4.6930   1533.1451    766.5726
    260.0000      3.4563      8.4490      4.6940   1533.9661    766.9830
    260.5000      3.4574      8.4520      4.6950   1534.7874    767.3937
    261.0000      3.4582      8.4540      4.6960   1535.6091    767.8045
    261.5000      3.4590      8.4560      4.6970   1536.4311    768.2155
    262.0000      3.4597      8.4580      4.6980   1537.2535    768.6267
    262.5000      3.4605      8.4600      4.6990   1538.0762    769.0381
    263.0000      3.4612      8.4620      4.7000   1538.8993    769.4497
    263.5000      3.4620      8.4640      4.7010   1539.7228    769.8614
    264.0000      3.4628      8.4660      4.7020   1540.5467    770.2733
    264.5000      3.4635      8.4680      4.7030   1541.3709    770.6854
    265.0000      3.4643      8.4700      4.7040   1542.1954    771.0977
    265.5000      3.4651      8.4720      4.7050   1543.0204    771.5102
    266.0000      3.4658      8.4740      4.7060   1543.8457    771.9228
    266.5000      3.4666      8.4760      4.7070   1544.6713    772.3357
    267.0000      3.4674      8.4780      4.7080   1545.4973    772.7487
    267.5000      3.4677      8.4790      4.7090   1546.3237    773.1619
    268.0000      3.4685      8.4810      4.7100   1547.1505    773.5752
    268.5000      3.4693      8.4830      4.7110   1547.9776    773.9888
    269.0000      3.4700      8.4850      4.7120   1548.8050    774.4025
    269.5000      3.4704      8.4860      4.7120   1548.8050    774.4025
    270.0000      3.4712      8.4880      4.7130   1549.6329    774.8164
    270.5000      3.4719      8.4900      4.7140   1550.4611    775.2305
    271.0000      3.4727      8.4920      4.7150   1551.2896    775.6448
    271.5000      3.4731      8.4930      4.7160   1552.1186    776.0593
    272.0000      3.4739      8.4950      4.7170   1552.9479    776.4739
    272.5000      3.4742      8.4960      4.7170   1552.9479    776.4739
    273.0000      3.4750      8.4980      4.7180   1553.7775    776.8888
    273.5000      3.4758      8.5000      4.7200   1555.4379    777.7190
    274.0000      3.4762      8.5010      4.7200   1555.4379    777.7190
    274.5000      3.4769      8.5030      4.7210   1556.2687    778.1343
    275.0000      3.4773      8.5040      4.7220   1557.0998    778.5499
    275.5000      3.4781      8.5060      4.7230   1557.9313    778.9656
    276.0000      3.4785      8.5070      4.7230   1557.9313    778.9656
    276.5000      3.4792      8.5090      4.7250   1559.5953    779.7977
    277.0000      3.4800      8.5110      4.7260   1560.4279    780.2140
    277.5000      3.4804      8.5120      4.7260   1560.4279    780.2140
    278.0000      3.4811      8.5140      4.7270   1561.2609    780.6304
    278.5000      3.4815      8.5150      4.7280   1562.0942    781.0471
    279.0000      3.4823      8.5170      4.7290   1562.9278    781.4639
    279.5000      3.4827      8.5180      4.7300   1563.7619    781.8809
    280.0000      3.4831      8.5190      4.7300   1563.7619    781.8809
    280.5000      3.4838      8.5210      4.7310   1564.5963    782.2981
    281.0000      3.4842      8.5220      4.7320   1565.4310    782.7155
    281.5000      3.4846      8.5230      4.7320   1565.4310    782.7155
    282.0000      3.4854      8.5250      4.7330   1566.2662    783.1331
    282.5000      3.4857      8.5260      4.7330   1566.2662    783.1331
    283.0000      3.4861      8.5270      4.7340   1567.1017    783.5508
    283.5000      3.4869      8.5290      4.7350   1567.9375    783.9688
    284.0000      3.4873      8.5300      4.7350   1567.9375    783.9688
    284.5000      3.4877      8.5310      4.7360   1568.7738    784.3869
    285.0000      3.4884      8.5330      4.7370   1569.6104    784.8052
    285.5000      3.4888      8.5340      4.7370   1569.6104    784.8052
    286.0000      3.4892      8.5350      4.7370   1569.6104    784.8052
    286.5000      3.4900      8.5370      4.7380   1570.4473    785.2237
    287.0000      3.4904      8.5380      4.7390   1571.2847    785.6423
    287.5000      3.4911      8.5400      4.7400   1572.1224    786.0612
    288.0000      3.4915      8.5410      4.7400   1572.1224    786.0612
    288.5000      3.4923      8.5430      4.7410   1572.9604    786.4802
    289.0000      3.4927      8.5440      4.7420   1573.7989    786.8994
    289.5000      3.4934      8.5460      4.7430   1574.6377    787.3188
    290.0000      3.4938      8.5470      4.7430   1574.6377    787.3188
    290.5000      3.4946      8.5490      4.7440   1575.4768    787.7384
    291.0000      3.4950      8.5500      4.7450   1576.3163    788.1582
    291.5000      3.4958      8.5520      4.7460   1577.1562    788.5781
    292.0000      3.4961      8.5530      4.7460   1577.1562    788.5781
    292.5000      3.4969      8.5550      4.7480   1578.8371    789.4186
    293.0000      3.4977      8.5570      4.7490   1579.6781    789.8391
    293.5000      3.4981      8.5580      4.7490   1579.6781    789.8391
    294.0000      3.4988      8.5600      4.7500   1580.5195    790.2598
    294.5000      3.4992      8.5610      4.7510   1581.3612    790.6806
    295.0000      3.5000      8.5630      4.7520   1582.2033    791.1017
    295.5000      3.5008      8.5650      4.7530   1583.0458    791.5229
    296.0000      3.5012      8.5660      4.7540   1583.8887    791.9443
    296.5000      3.5019      8.5680      4.7550   1584.7319    792.3659
    297.0000      3.5023      8.5690      4.7550   1584.7319    792.3659
    297.5000      3.5031      8.5710      4.7560   1585.5754    792.7877
    298.0000      3.5039      8.5730      4.7570   1586.4194    793.2097
    298.5000      3.5043      8.5740      4.7580   1587.2637    793.6318
    299.0000      3.5050      8.5760      4.7590   1588.1084    794.0542
    299.5000      3.5058      8.5780      4.7600   1588.9534    794.4767
    300.0000      3.5062      8.5790      4.7610   1589.7988    794.8994
    300.5000      3.5070      8.5810      4.7620   1590.6446    795.3223
    301.0000      3.5077      8.5830      4.7630   1591.4908    795.7454
    301.5000      3.5085      8.5850      4.7640   1592.3373    796.1686
    302.0000      3.5089      8.5860      4.7640   1592.3373    796.1686
    302.5000      3.5097      8.5880      4.7650   1593.1842    796.5921
    303.0000      3.5105      8.5900      4.7660   1594.0314    797.0157
    303.5000      3.5112      8.5920      4.7670   1594.8791    797.4395
    304.0000      3.5116      8.5930      4.7680   1595.7271    797.8635
    304.5000      3.5124      8.5950      4.7690   1596.5754    798.2877
    305.0000      3.5132      8.5970      4.7690   1596.5754    798.2877
    305.5000      3.5139      8.5990      4.7700   1597.4242    798.7121
    306.0000      3.5143      8.6000      4.7710   1598.2733    799.1366
    306.5000      3.5151      8.6020      4.7720   1599.1227    799.5614
    307.0000      3.5159      8.6040      4.7730   1599.9726    799.9863
    307.5000      3.5167      8.6060      4.7740   1600.8228    800.4114
    308.0000      3.5171      8.6070      4.7740   1600.8228    800.4114
    308.5000      3.5178      8.6090      4.7750   1601.6734    800.8367
    309.0000      3.5186      8.6110      4.7760   1602.5244    801.2622
    309.5000      3.5194      8.6130      4.7770   1603.3757    801.6878
    310.0000      3.5198      8.6140      4.7780   1604.2274    802.1137
    310.5000      3.5206      8.6160      4.7790   1605.0794    802.5397
    311.0000      3.5213      8.6180      4.7800   1605.9319    802.9659
    311.5000      3.5221      8.6200      4.7810   1606.7847    803.3923
    312.0000      3.5225      8.6210      4.7810   1606.7847    803.3923
    312.5000      3.5233      8.6230      4.7830   1608.4914    804.2457
    313.0000      3.5241      8.6250      4.7840   1609.3453    804.6727
    313.5000      3.5248      8.6270      4.7850   1610.1996    805.0998
    314.0000      3.5252      8.6280      4.7850   1610.1996    805.0998
    314.5000      3.5260      8.6300      4.7860   1611.0543    805.5271
    315.0000      3.5268      8.6320      4.7880   1612.7647    806.3824
    315.5000      3.5276      8.6340      4.7890   1613.6205    806.8102
    316.0000      3.5280      8.6350      4.7890   1613.6205    806.8102
    316.5000      3.5287      8.6370      4.7900   1614.4766    807.2383
    317.0000      3.5295      8.6390      4.7910   1615.3332    807.6666
    317.5000      3.5303      8.6410      4.7930   1617.0473    808.5237
    318.0000      3.5307      8.6420      4.7930   1617.0473    808.5237
    318.5000      3.5315      8.6440      4.7940   1617.9049    808.9525
    319.0000      3.5322      8.6460      4.7950   1618.7629    809.3815
    319.5000      3.5330      8.6480      4.7960   1619.6213    809.8107
    320.0000      3.5334      8.6490      4.7970   1620.4801    810.2400
    320.5000      3.5342      8.6510      4.7980   1621.3392    810.6696
    321.0000      3.5350      8.6530      4.7990   1622.1987    811.0993
    321.5000      3.5358      8.6550      4.8000   1623.0585    811.5293
    322.0000      3.5365      8.6570      4.8010   1623.9188    811.9594
    322.5000      3.5369      8.6580      4.8010   1623.9188    811.9594
    323.0000      3.5377      8.6600      4.8020   1624.7794    812.3897
    323.5000      3.5385      8.6620      4.8030   1625.6404    812.8202
    324.0000      3.5393      8.6640      4.8040   1626.5017    813.2509
    324.5000      3.5401      8.6660      4.8050   1627.3635    813.6817
    325.0000      3.5405      8.6670      4.8060   1628.2256    814.1128
    325.5000      3.5412      8.6690      4.8070   1629.0880    814.5440
    326.0000      3.5420      8.6710      4.8080   1629.9509    814.9754
    326.5000      3.5428      8.6730      4.8090   1630.8141    815.4071
    327.0000      3.5432      8.6740      4.8090   1630.8141    815.4071
    327.5000      3.5440      8.6760      4.8100   1631.6777    815.8388
    328.0000      3.5448      8.6780      4.8110   1632.5417    816.2708
    328.5000      3.5456      8.6800      4.8120   1633.4060    816.7030
    329.0000      3.5459      8.6810      4.8120   1633.4060    816.7030
    329.5000      3.5467      8.6830      4.8130   1634.2707    817.1354
    330.0000      3.5475      8.6850      4.8140   1635.1358    817.5679
    330.5000      3.5483      8.6870      4.8150   1636.0013    818.0006
    331.0000      3.5487      8.6880      4.8160   1636.8671    818.4336
    331.5000      3.5495      8.6900      4.8170   1637.7333    818.8667
    332.0000      3.5503      8.6920      4.8180   1638.5999    819.3000
    332.5000      3.5510      8.6940      4.8190   1639.4669    819.7334
    333.0000      3.5514      8.6950      4.8200   1640.3342    820.1671
    333.5000      3.5522      8.6970      4.8210   1641.2019    820.6010
    334.0000      3.5530      8.6990      4.8220   1642.0700    821.0350
    334.5000      3.5534      8.7000      4.8230   1642.9384    821.4692
    335.0000      3.5542      8.7020      4.8240   1643.8073    821.9036
    335.5000      3.5550      8.7040      4.8250   1644.6765    822.3382
    336.0000      3.5558      8.7060      4.8260   1645.5461    822.7730
    336.5000      3.5562      8.7070      4.8260   1645.5461    822.7730
    337.0000      3.5569      8.7090      4.8280   1647.2864    823.6432
    337.5000      3.5577      8.7110      4.8290   1648.1571    824.0785
    338.0000      3.5585      8.7130      4.8300   1649.0281    824.5141
    338.5000      3.5589      8.7140      4.8300   1649.0281    824.5141
    339.0000      3.5597      8.7160      4.8310   1649.8996    824.9498
    339.5000      3.5605      8.7180      4.8330   1651.6437    825.8218
    340.0000      3.5609      8.7190      4.8330   1651.6437    825.8218
    340.5000      3.5617      8.7210      4.8340   1652.5162    826.2581
    341.0000      3.5621      8.7220      4.8350   1653.3892    826.6946
    341.5000      3.5625      8.7230      4.8350   1653.3892    826.6946
    342.0000      3.5633      8.7250      4.8360   1654.2625    827.1313
    342.5000      3.5636      8.7260      4.8360   1654.2625    827.1313
    343.0000      3.5644      8.7280      4.8370   1655.1362    827.5681
    343.5000      3.5648      8.7290      4.8380   1656.0103    828.0052
    344.0000      3.5656      8.7310      4.8390   1656.8848    828.4424
    344.5000      3.5660      8.7320      4.8390   1656.8848    828.4424
    345.0000      3.5668      8.7340      4.8400   1657.7596    828.8798
    345.5000      3.5672      8.7350      4.8410   1658.6349    829.3174
    346.0000      3.5680      8.7370      4.8420   1659.5105    829.7552
    346.5000      3.5688      8.7390      4.8420   1659.5105    829.7552
    347.0000      3.5692      8.7400      4.8430   1660.3864    830.1932
    347.5000      3.5700      8.7420      4.8440   1661.2628    830.6314
    348.0000      3.5708      8.7440      4.8450   1662.1395    831.0697
    348.5000      3.5715      8.7460      4.8460   1663.0166    831.5083
    349.0000      3.5723      8.7480      4.8470   1663.8941    831.9470
    349.5000      3.5727      8.7490      4.8470   1663.8941    831.9470
    350.0000      3.5735      8.7510      4.8480   1664.7719    832.3860
    350.5000      3.5743      8.7530      4.8490   1665.6502    832.8251
    351.0000      3.5751      8.7550      4.8500   1666.5288    833.2644
    351.5000      3.5759      8.7570      4.8520   1668.2871    834.1436
    352.0000      3.5767      8.7590      4.8530   1669.1669    834.5834
    352.5000      3.5771      8.7600      4.8530   1669.1669    834.5834
    353.0000      3.5779      8.7620      4.8540   1670.0470    835.0235
    353.5000      3.5787      8.7640      4.8550   1670.9275    835.4637
    354.0000      3.5795      8.7660      4.8570   1672.6896    836.3448
    354.5000      3.5803      8.7680      4.8580   1673.5713    836.7856
    355.0000      3.5810      8.7700      4.8590   1674.4533    837.2266
    355.5000      3.5818      8.7720      4.8600   1675.3357    837.6678
    356.0000      3.5826      8.7740      4.8610   1676.2184    838.1092
    356.5000      3.5834      8.7760      4.8620   1677.1016    838.5508
    357.0000      3.5842      8.7780      4.8630   1677.9851    838.9925
    357.5000      3.5850      8.7800      4.8640   1678.8690    839.4345
    358.0000      3.5858      8.7820      4.8650   1679.7533    839.8766
    358.5000      3.5866      8.7840      4.8660   1680.6379    840.3190
    359.0000      3.5874      8.7860      4.8680   1682.4084    841.2042
    359.5000      3.5882      8.7880      4.8690   1683.2942    841.6471
    360.0000      3.5886      8.7890      4.8690   1683.2942    841.6471
    360.5000      3.5898      8.7920      4.8710   1685.0669    842.5335
    361.0000      3.5910      8.7950      4.8730   1686.8412    843.4206
    361.5000      3.5922      8.7980      4.8740   1687.7289    843.8644
    362.0000      3.5934      8.8010      4.8760   1689.5054    844.7527
    362.5000      3.5942      8.8030      4.8770   1690.3942    845.1971
    363.0000      3.5954      8.8060      4.8790   1692.1730    846.0865
    363.5000      3.5962      8.8080      4.8800   1693.0630    846.5315
    364.0000      3.5969      8.8100      4.8810   1693.9534    846.9767
    364.5000      3.5977      8.8120      4.8820   1694.8441    847.4221
    365.0000      3.5989      8.8150      4.8840   1696.6267    848.3134
    365.5000      3.5997      8.8170      4.8850   1697.5186    848.7593
    366.0000      3.6005      8.8190      4.8860   1698.4109    849.2054
    366.5000      3.6013      8.8210      4.8870   1699.3035    849.6518
    367.0000      3.6021      8.8230      4.8880   1700.1965    850.0983
    367.5000      3.6025      8.8240      4.8890   1701.0899    850.5450
    368.0000      3.6033      8.8260      4.8900   1701.9837    850.9919
    368.5000      3.6041      8.8280      4.8910   1702.8779    851.4389
    369.0000      3.6049      8.8300      4.8920   1703.7724    851.8862
    369.5000      3.6053      8.8310      4.8930   1704.6674    852.3337
    370.0000      3.6061      8.8330      4.8940   1705.5627    852.7813
    370.5000      3.6069      8.8350      4.8950   1706.4584    853.2292
    371.0000      3.6073      8.8360      4.8950   1706.4584    853.2292
    371.5000      3.6081      8.8380      4.8960   1707.3544    853.6772
    372.0000      3.6085      8.8390      4.8970   1708.2509    854.1254
    372.5000      3.6093      8.8410      4.8980   1709.1477    854.5739
    373.0000      3.6097      8.8420      4.8990   1710.0449    855.0225
    373.5000      3.6101      8.8430      4.8990   1710.0449    855.0225
    374.0000      3.6109      8.8450      4.9000   1710.9425    855.4713
    374.5000      3.6113      8.8460      4.9010   1711.8405    855.9203
    375.0000      3.6117      8.8470      4.9010   1711.8405    855.9203
    375.5000      3.6125      8.8490      4.9020   1712.7389    856.3694
    376.0000      3.6129      8.8500      4.9030   1713.6376    856.8188
    376.5000      3.6133      8.8510      4.9040   1714.5368    857.2684
    377.0000      3.6137      8.8520      4.9040   1714.5368    857.2684
    377.5000      3.6145      8.8540      4.9050   1715.4363    857.7181
    378.0000      3.6149      8.8550      4.9060   1716.3362    858.1681
    378.5000      3.6153      8.8560      4.9060   1716.3362    858.1681
    379.0000      3.6157      8.8570      4.9070   1717.2365    858.6182
    379.5000      3.6161      8.8580      4.9070   1717.2365    858.6182
    380.0000      3.6165      8.8590      4.9080   1718.1371    859.0686
    380.5000      3.6169      8.8600      4.9090   1719.0382    859.5191
    381.0000      3.6173      8.8610      4.9090   1719.0382    859.5191
    381.5000      3.6173      8.8610      4.9090   1719.0382    859.5191
    382.0000      3.6177      8.8620      4.9100   1719.9396    859.9698
    382.5000      3.6181      8.8630      4.9100   1719.9396    859.9698
    383.0000      3.6185      8.8640      4.9110   1720.8414    860.4207
    383.5000      3.6185      8.8640      4.9110   1720.8414    860.4207
    384.0000      3.6189      8.8650      4.9110   1720.8414    860.4207
    384.5000      3.6193      8.8660      4.9120   1721.7436    860.8718
    385.0000      3.6197      8.8670      4.9120   1721.7436    860.8718
    385.5000      3.6205      8.8690      4.9140   1723.5492    861.7746
    386.0000      3.6209      8.8700      4.9140   1723.5492    861.7746
    386.5000      3.6213      8.8710      4.9150   1724.4525    862.2262
    387.0000      3.6217      8.8720      4.9150   1724.4525    862.2262
    387.5000      3.6221      8.8730      4.9160   1725.3562    862.6781
    388.0000      3.6229      8.8750      4.9170   1726.2603    863.1302
    388.5000      3.6233      8.8760      4.9170   1726.2603    863.1302
    389.0000      3.6242      8.8780      4.9190   1728.0697    864.0349
    389.5000      3.6246      8.8790      4.9190   1728.0697    864.0349
    390.0000      3.6254      8.8810      4.9200   1728.9750    864.4875
    390.5000      3.6258      8.8820      4.9210   1729.8806    864.9403
    391.0000      3.6266      8.8840      4.9220   1730.7867    865.3933
    391.5000      3.6270      8.8850      4.9220   1730.7867    865.3933
    392.0000      3.6278      8.8870      4.9240   1732.5999    866.3000
    392.5000      3.6286      8.8890      4.9250   1733.5071    866.7535
    393.0000      3.6294      8.8910      4.9260   1734.4147    867.2073
    393.5000      3.6298      8.8920      4.9260   1734.4147    867.2073
    394.0000      3.6306      8.8940      4.9270   1735.3226    867.6613
    394.5000      3.6314      8.8960      4.9290   1737.1397    868.5699
    395.0000      3.6322      8.8980      4.9300   1738.0488    869.0244
    395.5000      3.6330      8.9000      4.9310   1738.9583    869.4792
    396.0000      3.6338      8.9020      4.9320   1739.8682    869.9341
    396.5000      3.6346      8.9040      4.9330   1740.7785    870.3892
    397.0000      3.6354      8.9060      4.9340   1741.6891    870.8446
    397.5000      3.6362      8.9080      4.9350   1742.6002    871.3001
    398.0000      3.6374      8.9110      4.9370   1744.4234    872.2117
    398.5000      3.6382      8.9130      4.9380   1745.3356    872.6678
    399.0000      3.6390      8.9150      4.9390   1746.2482    873.1241
    399.5000      3.6399      8.9170      4.9400   1747.1612    873.5806
    400.0000      3.6407      8.9190      4.9410   1748.0745    874.0373
    400.5000      3.6419      8.9220      4.9430   1749.9024    874.9512
    401.0000      3.6427      8.9240      4.9440   1750.8169    875.4085
    401.5000      3.6439      8.9270      4.9460   1752.6471    876.3236
    402.0000      3.6447      8.9290      4.9470   1753.5628    876.7814
    402.5000      3.6459      8.9320      4.9480   1754.4789    877.2394
    403.0000      3.6467      8.9340      4.9500   1756.3122    878.1561
    403.5000      3.6479      8.9370      4.9510   1757.2294    878.6147
    404.0000      3.6487      8.9390      4.9520   1758.1470    879.0735
    404.5000      3.6500      8.9420      4.9540   1759.9834    879.9917
    405.0000      3.6508      8.9440      4.9550   1760.9022    880.4511
    405.5000      3.6520      8.9470      4.9570   1762.7409    881.3704
    406.0000      3.6528      8.9490      4.9580   1763.6608    881.8304
    406.5000      3.6540      8.9520      4.9600   1765.5019    882.7509
    407.0000      3.6552      8.9550      4.9610   1766.4230    883.2115
    407.5000      3.6560      8.9570      4.9620   1767.3445    883.6722
    408.0000      3.6572      8.9600      4.9640   1769.1886    884.5943
    408.5000      3.6585      8.9630      4.9660   1771.0343    885.5172
    409.0000      3.6593      8.9650      4.9670   1771.9578    885.9789
    409.5000      3.6605      8.9680      4.9680   1772.8816    886.4408
    410.0000      3.6617      8.9710      4.9700   1774.7304    887.3652
    410.5000      3.6629      8.9740      4.9720   1776.5808    888.2904
