#  JMA2001 + Density + Attenuation
#
#  The original JMA2001 velocity strucuture model (Ueno, et al., 2002)
#  used in hypocentral determination by Japan Meteorological Agency 
#  contains depth, P-wave velocity adn S-wave velocity.
#  Mass density and intrinsic attenuation factors are obtained from 
#  empirical relationships summarized in Brocher (2008; J Seismol.)
#  Note that the velocities of deep structure (>270 km for density and
#  >420 km for attenuation) exceeds the limiation of the empirical formula.
#  Please use it with caution for deep-focus earthquake. 
#
#   depth(km)   rho(g/cc)   vp(km/s)    vs(km/s)       Qp       Qs
# ------------------------------------------------------------------
     46.0000      3.1704      7.6500      4.3670   1284.2397    642.1199
     46.5000      3.1738      7.6600      4.3710   1287.0744    643.5372
     47.0000      3.1771      7.6700      4.3750   1289.9144    644.9572
     47.5000      3.1801      7.6790      4.3790   1292.7597    646.3798
     48.0000      3.1831      7.6880      4.3820   1294.8971    647.4485
     48.5000      3.1858      7.6960      4.3850   1297.0375    648.5188
     49.0000      3.1885      7.7040      4.3880   1299.1809    649.5904
     49.5000      3.1909      7.7110      4.3900   1300.6115    650.3057
     50.0000      3.1932      7.7180      4.3930   1302.7598    651.3799
     50.5000      3.1953      7.7240      4.3950   1304.1937    652.0969
     51.0000      3.1973      7.7300      4.3960   1304.9112    652.4556
     51.5000      3.1990      7.7350      4.3980   1306.3471    653.1735
     52.0000      3.2007      7.7400      4.3990   1307.0655    653.5328
     52.5000      3.2041      7.7500      4.4030   1309.9427    654.9713
     53.0000      3.2058      7.7550      4.4040   1310.6628    655.3314
     53.5000      3.2075      7.7600      4.4050   1311.3832    655.6916
     54.0000      3.2092      7.7650      4.4060   1312.1040    656.0520
     54.5000      3.2109      7.7700      4.4080   1313.5466    656.7733
     55.0000      3.2126      7.7750      4.4090   1314.2684    657.1342
     55.5000      3.2140      7.7790      4.4090   1314.2684    657.1342
     56.0000      3.2153      7.7830      4.4100   1314.9905    657.4952
     56.5000      3.2167      7.7870      4.4110   1315.7129    657.8565
     57.0000      3.2181      7.7910      4.4110   1315.7129    657.8565
     57.5000      3.2195      7.7950      4.4120   1316.4357    658.2179
     58.0000      3.2208      7.7990      4.4130   1317.1589    658.5794
     58.5000      3.2222      7.8030      4.4130   1317.1589    658.5794
     59.0000      3.2236      7.8070      4.4140   1317.8823    658.9412
     59.5000      3.2249      7.8110      4.4150   1318.6061    659.3030
     60.0000      3.2263      7.8150      4.4150   1318.6061    659.3030
     60.5000      3.2274      7.8180      4.4160   1319.3302    659.6651
     61.0000      3.2284      7.8210      4.4160   1319.3302    659.6651
     61.5000      3.2294      7.8240      4.4170   1320.0547    660.0273
     62.0000      3.2305      7.8270      4.4170   1320.0547    660.0273
     62.5000      3.2315      7.8300      4.4170   1320.0547    660.0273
     63.0000      3.2325      7.8330      4.4180   1320.7795    660.3897
     63.5000      3.2336      7.8360      4.4180   1320.7795    660.3897
     64.0000      3.2346      7.8390      4.4190   1321.5046    660.7523
     64.5000      3.2356      7.8420      4.4190   1321.5046    660.7523
     65.0000      3.2367      7.8450      4.4190   1321.5046    660.7523
     65.5000      3.2374      7.8470      4.4190   1321.5046    660.7523
     66.0000      3.2380      7.8490      4.4190   1321.5046    660.7523
     66.5000      3.2387      7.8510      4.4190   1321.5046    660.7523
     67.0000      3.2394      7.8530      4.4190   1321.5046    660.7523
     67.5000      3.2401      7.8550      4.4190   1321.5046    660.7523
     68.0000      3.2408      7.8570      4.4190   1321.5046    660.7523
     68.5000      3.2415      7.8590      4.4190   1321.5046    660.7523
     69.0000      3.2422      7.8610      4.4190   1321.5046    660.7523
     69.5000      3.2429      7.8630      4.4190   1321.5046    660.7523
     70.0000      3.2436      7.8650      4.4190   1321.5046    660.7523
     70.5000      3.2439      7.8660      4.4190   1321.5046    660.7523
     71.0000      3.2443      7.8670      4.4190   1321.5046    660.7523
     71.5000      3.2446      7.8680      4.4190   1321.5046    660.7523
     72.0000      3.2450      7.8690      4.4190   1321.5046    660.7523
     72.5000      3.2453      7.8700      4.4200   1322.2301    661.1150
     73.0000      3.2457      7.8710      4.4200   1322.2301    661.1150
     73.5000      3.2460      7.8720      4.4200   1322.2301    661.1150
     74.0000      3.2464      7.8730      4.4200   1322.2301    661.1150
     74.5000      3.2467      7.8740      4.4200   1322.2301    661.1150
     75.0000      3.2471      7.8750      4.4200   1322.2301    661.1150
     75.5000      3.2474      7.8760      4.4200   1322.2301    661.1150
     76.0000      3.2478      7.8770      4.4200   1322.2301    661.1150
     76.5000      3.2481      7.8780      4.4200   1322.2301    661.1150
     77.0000      3.2485      7.8790      4.4200   1322.2301    661.1150
     77.5000      3.2488      7.8800      4.4200   1322.2301    661.1150
     78.0000      3.2492      7.8810      4.4200   1322.2301    661.1150
     78.5000      3.2499      7.8830      4.4200   1322.2301    661.1150
     79.0000      3.2505      7.8850      4.4200   1322.2301    661.1150
     79.5000      3.2512      7.8870      4.4200   1322.2301    661.1150
     80.0000      3.2519      7.8890      4.4200   1322.2301    661.1150
     80.5000      3.2526      7.8910      4.4200   1322.2301    661.1150
     81.0000      3.2533      7.8930      4.4210   1322.9559    661.4779
     81.5000      3.2540      7.8950      4.4220   1323.6820    661.8410
     82.0000      3.2544      7.8960      4.4230   1324.4085    662.2042
     82.5000      3.2551      7.8980      4.4230   1324.4085    662.2042
     83.0000      3.2558      7.9000      4.4240   1325.1353    662.5676
     83.5000      3.2561      7.9010      4.4250   1325.8624    662.9312
     84.0000      3.2568      7.9030      4.4250   1325.8624    662.9312
     84.5000      3.2575      7.9050      4.4260   1326.5899    663.2949
     85.0000      3.2579      7.9060      4.4270   1327.3177    663.6588
     85.5000      3.2586      7.9080      4.4280   1328.0458    664.0229
     86.0000      3.2589      7.9090      4.4280   1328.0458    664.0229
     86.5000      3.2596      7.9110      4.4290   1328.7743    664.3872
     87.0000      3.2600      7.9120      4.4290   1328.7743    664.3872
     87.5000      3.2607      7.9140      4.4300   1329.5031    664.7516
     88.0000      3.2610      7.9150      4.4300   1329.5031    664.7516
     88.5000      3.2617      7.9170      4.4310   1330.2323    665.1161
     89.0000      3.2621      7.9180      4.4310   1330.2323    665.1161
     89.5000      3.2628      7.9200      4.4320   1330.9618    665.4809
     90.0000      3.2631      7.9210      4.4330   1331.6916    665.8458
     90.5000      3.2638      7.9230      4.4340   1332.4217    666.2109
     91.0000      3.2642      7.9240      4.4340   1332.4217    666.2109
     91.5000      3.2649      7.9260      4.4350   1333.1522    666.5761
     92.0000      3.2652      7.9270      4.4350   1333.1522    666.5761
     92.5000      3.2656      7.9280      4.4360   1333.8831    666.9415
     93.0000      3.2663      7.9300      4.4370   1334.6143    667.3071
     93.5000      3.2666      7.9310      4.4370   1334.6143    667.3071
     94.0000      3.2673      7.9330      4.4380   1335.3458    667.6729
     94.5000      3.2677      7.9340      4.4390   1336.0776    668.0388
     95.0000      3.2684      7.9360      4.4400   1336.8098    668.4049
     95.5000      3.2687      7.9370      4.4400   1336.8098    668.4049
     96.0000      3.2691      7.9380      4.4410   1337.5423    668.7712
     96.5000      3.2698      7.9400      4.4420   1338.2752    669.1376
     97.0000      3.2702      7.9410      4.4420   1338.2752    669.1376
     97.5000      3.2709      7.9430      4.4430   1339.0083    669.5042
     98.0000      3.2712      7.9440      4.4430   1339.0083    669.5042
     98.5000      3.2716      7.9450      4.4440   1339.7419    669.8709
     99.0000      3.2723      7.9470      4.4450   1340.4757    670.2379
     99.5000      3.2726      7.9480      4.4450   1340.4757    670.2379
    100.0000      3.2730      7.9490      4.4460   1341.2099    670.6050
    100.5000      3.2737      7.9510      4.4470   1341.9445    670.9722
    101.0000      3.2740      7.9520      4.4470   1341.9445    670.9722
    101.5000      3.2744      7.9530      4.4480   1342.6794    671.3397
    102.0000      3.2747      7.9540      4.4480   1342.6794    671.3397
    102.5000      3.2751      7.9550      4.4480   1342.6794    671.3397
    103.0000      3.2754      7.9560      4.4490   1343.4146    671.7073
    103.5000      3.2758      7.9570      4.4490   1343.4146    671.7073
    104.0000      3.2765      7.9590      4.4500   1344.1501    672.0751
    104.5000      3.2768      7.9600      4.4510   1344.8860    672.4430
    105.0000      3.2772      7.9610      4.4510   1344.8860    672.4430
    105.5000      3.2779      7.9630      4.4520   1345.6223    672.8111
    106.0000      3.2783      7.9640      4.4530   1346.3588    673.1794
    106.5000      3.2786      7.9650      4.4530   1346.3588    673.1794
    107.0000      3.2793      7.9670      4.4540   1347.0957    673.5479
    107.5000      3.2797      7.9680      4.4550   1347.8330    673.9165
    108.0000      3.2804      7.9700      4.4560   1348.5706    674.2853
    108.5000      3.2807      7.9710      4.4560   1348.5706    674.2853
    109.0000      3.2814      7.9730      4.4570   1349.3085    674.6542
    109.5000      3.2818      7.9740      4.4570   1349.3085    674.6542
    110.0000      3.2825      7.9760      4.4580   1350.0468    675.0234
    110.5000      3.2829      7.9770      4.4590   1350.7854    675.3927
    111.0000      3.2836      7.9790      4.4600   1351.5243    675.7621
    111.5000      3.2843      7.9810      4.4610   1352.2636    676.1318
    112.0000      3.2846      7.9820      4.4610   1352.2636    676.1318
    112.5000      3.2853      7.9840      4.4620   1353.0032    676.5016
    113.0000      3.2857      7.9850      4.4630   1353.7432    676.8716
    113.5000      3.2864      7.9870      4.4640   1354.4834    677.2417
    114.0000      3.2871      7.9890      4.4650   1355.2241    677.6120
    114.5000      3.2875      7.9900      4.4650   1355.2241    677.6120
    115.0000      3.2882      7.9920      4.4660   1355.9651    677.9825
    115.5000      3.2889      7.9940      4.4670   1356.7064    678.3532
    116.0000      3.2896      7.9960      4.4680   1357.4480    678.7240
    116.5000      3.2899      7.9970      4.4680   1357.4480    678.7240
    117.0000      3.2907      7.9990      4.4690   1358.1900    679.0950
    117.5000      3.2914      8.0010      4.4700   1358.9324    679.4662
    118.0000      3.2917      8.0020      4.4710   1359.6750    679.8375
    118.5000      3.2924      8.0040      4.4720   1360.4180    680.2090
    119.0000      3.2931      8.0060      4.4730   1361.1614    680.5807
    119.5000      3.2939      8.0080      4.4740   1361.9051    680.9525
    120.0000      3.2942      8.0090      4.4740   1361.9051    680.9525
    120.5000      3.2949      8.0110      4.4750   1362.6491    681.3246
    121.0000      3.2956      8.0130      4.4760   1363.3935    681.6967
    121.5000      3.2963      8.0150      4.4770   1364.1382    682.0691
    122.0000      3.2971      8.0170      4.4780   1364.8833    682.4416
    122.5000      3.2978      8.0190      4.4790   1365.6287    682.8143
    123.0000      3.2985      8.0210      4.4800   1366.3744    683.1872
    123.5000      3.2992      8.0230      4.4810   1367.1205    683.5602
    124.0000      3.2999      8.0250      4.4820   1367.8669    683.9334
    124.5000      3.3006      8.0270      4.4830   1368.6137    684.3068
    125.0000      3.3010      8.0280      4.4840   1369.3608    684.6804
    125.5000      3.3017      8.0300      4.4850   1370.1082    685.0541
    126.0000      3.3024      8.0320      4.4860   1370.8560    685.4280
    126.5000      3.3031      8.0340      4.4870   1371.6041    685.8021
    127.0000      3.3038      8.0360      4.4880   1372.3526    686.1763
    127.5000      3.3046      8.0380      4.4890   1373.1014    686.5507
    128.0000      3.3049      8.0390      4.4890   1373.1014    686.5507
    128.5000      3.3056      8.0410      4.4900   1373.8505    686.9253
    129.0000      3.3063      8.0430      4.4910   1374.6000    687.3000
    129.5000      3.3071      8.0450      4.4920   1375.3499    687.6749
    130.0000      3.3074      8.0460      4.4920   1375.3499    687.6749
    130.5000      3.3081      8.0480      4.4930   1376.1000    688.0500
    131.0000      3.3088      8.0500      4.4940   1376.8506    688.4253
    131.5000      3.3096      8.0520      4.4950   1377.6014    688.8007
    132.0000      3.3099      8.0530      4.4960   1378.3526    689.1763
    132.5000      3.3106      8.0550      4.4970   1379.1042    689.5521
    133.0000      3.3114      8.0570      4.4980   1379.8561    689.9280
    133.5000      3.3117      8.0580      4.4980   1379.8561    689.9280
    134.0000      3.3124      8.0600      4.4990   1380.6083    690.3041
    134.5000      3.3131      8.0620      4.5000   1381.3609    690.6804
    135.0000      3.3135      8.0630      4.5010   1382.1138    691.0569
    135.5000      3.3142      8.0650      4.5020   1382.8670    691.4335
    136.0000      3.3149      8.0670      4.5030   1383.6206    691.8103
    136.5000      3.3153      8.0680      4.5030   1383.6206    691.8103
    137.0000      3.3160      8.0700      4.5040   1384.3746    692.1873
    137.5000      3.3167      8.0720      4.5050   1385.1289    692.5644
